ID_patologia,TIPO DE PATOLOGIA,Descripción
A00,ENFERMEDADES INFECCIOSAS INTESTINALES,COLERA
A01,ENFERMEDADES INFECCIOSAS INTESTINALES,FIEBRES TIFOIDEA Y PARATIFOIDEA
A02,ENFERMEDADES INFECCIOSAS INTESTINALES,OTRAS INFECCIONES DEBIDAS A SALMONELLA
A03,ENFERMEDADES INFECCIOSAS INTESTINALES,SHIGELOSIS
A04,ENFERMEDADES INFECCIOSAS INTESTINALES,OTRAS INFECCIONES INTESTINALES BACTERIANAS
A05,ENFERMEDADES INFECCIOSAS INTESTINALES,OTRAS INTOXICACIONES ALIMENTARIAS BACTERIANAS
A051,ENFERMEDADES INFECCIOSAS INTESTINALES,BOTULISMO
A06,ENFERMEDADES INFECCIOSAS INTESTINALES,AMEBIASIS
A07,ENFERMEDADES INFECCIOSAS INTESTINALES,OTRAS ENFERMEDADES INTESTINALES DEBIDAS A PROTOZOARIOS
A08,ENFERMEDADES INFECCIOSAS INTESTINALES,INFECCIONES INTESTINALES DEBIDAS A VIRUS Y OTROS ORGANISMOS ESPECIFICADOS
A09,ENFERMEDADES INFECCIOSAS INTESTINALES,DIARREA Y GASTROENTERITIS DE PRESUNTO ORIGEN INFECCIOSOS
A15,TUBERCULOSIS,"TUBERCULOSIS RESPIRATORIA, CONFIRMADA BACTERIOLOGICA E HISTOLOGICAMENTE"
A159,TUBERCULOSIS,TBC - PLEURESIA TUBERCULOSA
A16,TUBERCULOSIS,"TUBERCULOSIS RESPIRATORIA, NO CONFIRMADA BACTERIOLOGICA O HISTOLOGICAMENTE"
A17,TUBERCULOSIS,TUBERCULOSIS DEL SISTEMA NERVIOSO - MENINGITIS
A18,TUBERCULOSIS,TUBERCULOSIS DE OTROS ORGANOS
A19,TUBERCULOSIS,TUBERCULOSIS MILIAR
A20,CIERTAS ZOONOSIS BACTERIANAS,PESTE
A21,CIERTAS ZOONOSIS BACTERIANAS,TULAREMIA
A22,CIERTAS ZOONOSIS BACTERIANAS,CARBUNCO HUMANO (ANTRAX)
A23,CIERTAS ZOONOSIS BACTERIANAS,BRUCELOSIS
A24,CIERTAS ZOONOSIS BACTERIANAS,MUERMO Y MELIOIDOSIS
A25,CIERTAS ZOONOSIS BACTERIANAS,FIEBRE POR MORDEDURA DE RATA
A26,CIERTAS ZOONOSIS BACTERIANAS,ERISIPELOIDE
A27,CIERTAS ZOONOSIS BACTERIANAS,LEPTOSPIROSIS
A28,CIERTAS ZOONOSIS BACTERIANAS,"OTRAS ENFERMEDADES ZOONOTICAS BACTERIANAS, NO CLASIFICADAS EN OTRA PARTE"
A30,OTRAS ENFERMEDADES BACTERIANAS,LEPRA (ENFERMEDAD DE HANSEI)
A31,OTRAS ENFERMEDADES BACTERIANAS,INFECCIONES DEBIDAS A OTRAS MICOBACTERIAS
A32,OTRAS ENFERMEDADES BACTERIANAS,LISTERIOSIS
A33,OTRAS ENFERMEDADES BACTERIANAS,TETANOS NEONATAL
A34,OTRAS ENFERMEDADES BACTERIANAS,TETANOS OBSTETRICO
A35,OTRAS ENFERMEDADES BACTERIANAS,OTROS TETANOS
